ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0F4Y3H1JK,"Arden Grange Adult Light Dry Dog Food, Chicken, 11.5 kg",Arden Grange,https://www.amazon.co.uk/dp/B0F4Y3H1JK,Pet Supplies,OK,MAYBE,BALANCED | 176/mo | GBP8.62 profit | GBP1517.10 monthly gross | stable | 7 sellers,BALANCED,1,BALANCED | GBP1517.10/mo | 176/mo | GBP8.62 unit profit | stable | 7 sellers,8.0,10,10,4,6,9.3,8.5,9.3,GBP1517,OK,STRONG,GBP47.91,GBP47.90,STABLE,GBP0.00,GBP8.15,GBP8.15,GBP31.14,GBP8.62,27.7%,GBP33.13,GBP39.29,13402,88,100,4.5,29,N,7,N,0%,-,NO,NO,GENERIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,5028399002899,,
B01EVDZQ5K,"PetSafe Extreme Weather Pet Door - Triple Flap, Energy Efficient, Customisable Frame - Small",PetSafe,https://www.amazon.co.uk/dp/B01EVDZQ5K,Pet Supplies,OK,MAYBE,BALANCED | 162/mo | GBP6.55 profit | GBP1061.10 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP1061.10/mo | 162/mo | GBP6.55 unit profit | stable | 2 sellers,8.0,10,10,9,1,9.7,6.8,9,GBP1061,OK,STRONG,GBP52.89,GBP52.63,STABLE,GBP3.05,GBP8.91,GBP11.96,GBP34.38,GBP6.55,19.0%,GBP34.11,GBP46.34,10705,81,0,4.2,2789,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0729849157941, 7922315291801",729849157941,00729849157941
B07PWY4TKK,Royal Canin Shih Tzu Adult Breed Dry Dog Food 7.5kg,MALTBYS' STORES 1904 LTD,https://www.amazon.co.uk/dp/B07PWY4TKK,Pet Supplies,OK,YES,BALANCED | 116/mo | GBP8.56 profit | GBP993.00 monthly gross | stable | 3 sellers,BALANCED,1,BALANCED | GBP993.00/mo | 116/mo | GBP8.56 unit profit | stable | 3 sellers,8.5,9,10,8,6,9.7,8.7,9.5,GBP993,OK,AVERAGE,GBP47.59,GBP49.31,SLIGHT DIP (3%),GBP0.00,GBP8.10,GBP8.10,GBP30.93,GBP8.56,27.7%,GBP32.91,GBP39.03,25366,58,0,4.8,92,N,3,N,0%,-,NO,NO,SYNTHETIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,0700425370152,700425370152,
B00GOO1WI0,Synoquin Joint Supplement for Dogs 120 Tablets,VetPlus,https://www.amazon.co.uk/dp/B00GOO1WI0,Pet Supplies,OK,MAYBE,BALANCED | 94/mo | GBP9.70 profit | GBP911.80 monthly gross | stable | 5 sellers,BALANCED,1,BALANCED | GBP911.80/mo | 94/mo | GBP9.70 unit profit | stable | 5 sellers,8.0,10,10,6,4,9.5,7.9,9.3,GBP912,OK,WEAK,GBP68.75,GBP68.41,STABLE,GBP3.00,GBP11.36,GBP14.36,GBP44.69,GBP9.70,21.7%,GBP45.32,GBP59.05,19123,47,0,4.4,108,N,5,N,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,5031812522393,,
B0B35WP78F,Royal Canin Sterilised Adult In Gravy Wet Cat Food 85g (Pack of 48),ROYAL CANIN,https://www.amazon.co.uk/dp/B0B35WP78F,Pet Supplies,OK,MAYBE,BALANCED | 100/mo | GBP8.63 profit | GBP863.00 monthly gross | SQUEEZED | 5 sellers,BALANCED,1,BALANCED | GBP863.00/mo | 100/mo | GBP8.63 unit profit | SQUEEZED | 5 sellers,8.2,10,10,5,6,8.9,8,8.8,GBP863,SQUEEZED,AVERAGE,GBP47.99,GBP53.36,SLIGHT DIP (10%),GBP0.00,GBP8.16,GBP8.16,GBP31.19,GBP8.63,27.7%,GBP33.19,GBP39.36,14961,50,0,5.0,14,N,5,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,3182559344402,,
B08WJBRKD4,Bamfords Top Flight Premium Parrot Food with Fruit (12.5kg),Bamfords Top Flight,https://www.amazon.co.uk/dp/B08WJBRKD4,Pet Supplies,OK,YES,BALANCED | 132/mo | GBP5.70 profit | GBP752.40 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP752.40/mo | 132/mo | GBP5.70 unit profit | stable | 2 sellers,8.8,10,10,9,5,9.8,8,9,GBP752,OK,AVERAGE,GBP32.99,GBP32.99,STABLE,GBP0.00,GBP5.85,GBP5.85,GBP21.44,GBP5.70,26.6%,GBP22.62,GBP27.29,10682,66,100,4.4,148,N,2,N,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,5060023157667,,
B00IF6VJQA,Science Supplements ProKalm Horse Calmer Aid x Size: 1.1 Kg Tub,Science Supplements,https://www.amazon.co.uk/dp/B00IF6VJQA,Pet Supplies,OK,BRAND APPROACH,BALANCED | 76/mo | GBP9.61 profit | GBP730.40 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP730.40/mo | 76/mo | GBP9.61 unit profit | stable | 2 sellers,8.4,10,8,9,6,9.1,8.4,9,GBP730,OK,WEAK,GBP52.99,GBP52.28,STABLE,GBP0.00,GBP8.93,GBP8.93,GBP34.44,GBP9.61,27.9%,GBP36.71,GBP43.38,19775,38,0,4.8,31,N,2,N,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B00GZWOWG0,"Cosequin Nutramax Maximum Strength Joint Health Supplement for Dogs - With Glucosamine, Chondroitin, and MSM, 250 Chewable Tablets",Nutramax Laboratories,https://www.amazon.co.uk/dp/B00GZWOWG0,Pet Supplies,OK,YES,BALANCED | 78/mo | GBP8.93 profit | GBP696.50 monthly gross | stable | 2 sellers,BALANCED,1,BALANCED | GBP696.50/mo | 78/mo | GBP8.93 unit profit | stable | 2 sellers,8.6,10,10,9,4,9.4,8,9.1,GBP697,OK,AVERAGE,GBP64.99,GBP65.54,STABLE,GBP3.04,GBP10.78,GBP13.82,GBP42.24,GBP8.93,21.1%,GBP42.64,GBP56.06,21112,39,0,4.7,57929,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,0755970405125,755970405125,00755970405125
B00KGWI1D0,Canagan Light / Senior Free Run Chicken Grain Free 6kg,Canagan,https://www.amazon.co.uk/dp/B00KGWI1D0,Pet Supplies,OK,MAYBE,BALANCED | 66/mo | GBP10.20 profit | GBP673.20 monthly gross | stable | 4 sellers,BALANCED,1,BALANCED | GBP673.20/mo | 66/mo | GBP10.20 unit profit | stable | 4 sellers,8.1,9,10,6,6,9.1,8.8,9.4,GBP673,OK,WEAK,GBP55.98,GBP56.25,STABLE,GBP0.00,GBP9.40,GBP9.40,GBP36.39,GBP10.20,28.0%,GBP38.82,GBP45.78,27175,33,0,4.6,22,N,4,N,0%,-,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,5060358539879,,
B09M49HNKS,Bactador Enzyme Cleaner Concentrate 10L - Enzymatic cleaner & Cat urine enzyme cleaner - Pet carpet cleaner - Microbiological urine neutraliser - Pet stain and odour remover - Makes up to 500 litres,Bactador,https://www.amazon.co.uk/dp/B09M49HNKS,Pet Supplies,HEAVY,MAYBE,BALANCED | 86/mo | GBP7.57 profit | GBP651.00 monthly gross | SQUEEZED | 2 sellers,BALANCED,1,BALANCED | GBP651.00/mo | 86/mo | GBP7.57 unit profit | SQUEEZED | 2 sellers,8.2,10,10,9,2,9.2,7.2,8.6,GBP651,SQUEEZED,STRONG,GBP54.99,GBP63.23,DROPPING (13%),GBP3.58,GBP8.10,GBP11.68,GBP35.74,GBP7.57,21.2%,GBP36.09,GBP47.42,10181,43,0,4.4,3459,N,2,Y,25%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,MEDIUM,3,Low,Established brand | A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,4019181501622,,
